PROC_CDE,DESCRIPTION
J2270,"Injection, morphine sulfate, up to 10 mg"
J2271,"Injection, morphine sulfate, 100mg"
J2275,"Injection, morphine sulfate (preservative-free sterile solution), per 10 mg"
Q9974,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg"
S0093,"Injection, morphine sulfate, 500 )mg (loading dose for infusion pump"
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg"
J2410,"Injection, oxymorphone hcl, up to 1 mg"
J1170,"Injection, hydromorphone, up to 4 mg"
S0092,"Injection, hydromorphone hydrochloride, 250 mg (loading dose for infusion pump)"
J0745,"Injection, codeine phosphate, per 30 mg"
J3010,"Injection, fentanyl citrate, 0.1 mg"
J1810,"Injection, droperidol and fentanyl citrate, up to 2 ml ampule"
J2175,"Injection, meperidine hydrochloride, per 100 mg"
J2180,"Injection, meperidine and promethazine hcl, up to 50 mg"
